L,B,a,b,c,t,phi,sigma_0,E,nu,sigma_ax_a,sigma_ay_a,sigma_bx_a,sigma_by_a,tau_a,sigma_ax_b,sigma_ay_b,sigma_bx_b,sigma_by_b,tau_b,sigma_ax_c,sigma_ay_c,sigma_bx_c,sigma_by_c,tau_c,sigma_a_unit_c,sigma_b_unit_c,sigma_x_cbhd,sigma_y_cbhd,tau_cbhd
244.488,338.976,19.311,23.248,15.374,1.5,82.5,51475.0,30000000.0,0.3,12500.0,9500.0,1500.00001,1500.00001,5500.0,11500.0,8500.0,1500.00001,1500.00001,4500.0,10500.0,7500.0,1500.00001,1500.00001,3500.0,14000.0,11500.0,11500.0,9000.0,6500.0
254.488,348.976,19.811,23.748,15.874,1.55,83.0,51475.0,30000000.0,0.3,12600.0,9600.0,1600.00001,1600.00001,5600.0,11600.0,8600.0,1600.00001,1600.00001,4600.0,10600.0,7600.0,1600.00001,1600.00001,3600.0,14100.0,11600.0,11600.0,9100.0,6600.0
264.488,358.976,20.311,24.248,16.374,1.6,83.5,51475.0,30000000.0,0.3,12700.0,9700.0,1700.00001,1700.00001,5700.0,11700.0,8700.0,1700.00001,1700.00001,4700.0,10700.0,7700.0,1700.00001,1700.00001,3700.0,14200.0,11700.0,11700.0,9200.0,6700.0
274.488,368.976,20.811,24.748,16.874,1.65,84.0,51475.0,30000000.0,0.3,12800.0,9800.0,1800.00001,1800.00001,5800.0,11800.0,8800.0,1800.00001,1800.00001,4800.0,10800.0,7800.0,1800.00001,1800.00001,3800.0,14300.0,11800.0,11800.0,9300.0,6800.0
284.488,378.976,21.311,25.248,17.374,1.7,84.5,51475.0,30000000.0,0.3,12900.0,9900.0,1900.00001,1900.00001,5900.0,11900.0,8900.0,1900.00001,1900.00001,4900.0,10900.0,7900.0,1900.00001,1900.00001,3900.0,14400.0,11900.0,11900.0,9400.0,6900.0
294.488,388.976,21.811,25.748,17.874,1.75,85.0,51475.0,30000000.0,0.3,13000.0,10000.0,2000.00001,2000.00001,6000.0,12000.0,9000.0,2000.00001,2000.00001,5000.0,11000.0,8000.0,2000.00001,2000.00001,4000.0,14500.0,12000.0,12000.0,9500.0,7000.0
304.488,398.976,22.311,26.248,18.374,1.8,85.5,51475.0,30000000.0,0.3,13100.0,10100.0,2100.00001,2100.00001,6100.0,12100.0,9100.0,2100.00001,2100.00001,5100.0,11100.0,8100.0,2100.00001,2100.00001,4100.0,14600.0,12100.0,12100.0,9600.0,7100.0
314.488,408.976,22.811,26.748,18.874,1.85,86.0,51475.0,30000000.0,0.3,13200.0,10200.0,2200.00001,2200.00001,6200.0,12200.0,9200.0,2200.00001,2200.00001,5200.0,11200.0,8200.0,2200.00001,2200.00001,4200.0,14700.0,12200.0,12200.0,9700.0,7200.0
324.488,418.976,23.311,27.248,19.374,1.9,86.5,51475.0,30000000.0,0.3,13300.0,10300.0,2300.00001,2300.00001,6300.0,12300.0,9300.0,2300.00001,2300.00001,5300.0,11300.0,8300.0,2300.00001,2300.00001,4300.0,14800.0,12300.0,12300.0,9800.0,7300.0
334.488,428.976,23.811,27.748,19.874,1.95,87.0,51475.0,30000000.0,0.3,13400.0,10400.0,2400.00001,2400.00001,6400.0,12400.0,9400.0,2400.00001,2400.00001,5400.0,11400.0,8400.0,2400.00001,2400.00001,4400.0,14900.0,12400.0,12400.0,9900.0,7400.0
344.488,438.976,24.311,28.248,20.374,2.0,87.5,51475.0,30000000.0,0.3,13500.0,10500.0,2500.00001,2500.00001,6500.0,12500.0,9500.0,2500.00001,2500.00001,5500.0,11500.0,8500.0,2500.00001,2500.00001,4500.0,15000.0,12500.0,12500.0,10000.0,7500.0
